Titulo,Fecha,Link
"""Girasoles para Lucía"" cumple 20 años: ¿qué hacen actualmente sus estrellas?",01/01/2019 _ 18:00,https://elcomercio.pe/tvmas/television/girasoles-lucia-cumple-20-anos-haciendo-actores-noticia-592454-noticia/
¿Qué mecanismos existen ante la remoción de Vela y Pérez?,01/01/2019 _ 17:45,https://elcomercio.pe/politica/mecanismos-existen-remocion-vela-perez-noticia-593178-noticia/
Año Nuevo: así se encuentra el caótico tránsito del primer día del 2019 | EN VIVO,01/01/2019 _ 17:30,https://elcomercio.pe/lima/transporte/ano-nuevo-encuentra-caotico-transito-primer-dia-2019-vivo-noticia-591899-noticia/
Sudáfrica introduce un salario mínimo por primera vez en su historia,01/01/2019 _ 17:27,https://elcomercio.pe/economia/mundo/sudafrica-introduce-salario-minimo-primera-vez-historia-noticia-593185-noticia/
Abrir mercados para la agroindustria: el reto para el 2019,01/01/2019 _ 17:20,https://elcomercio.pe/economia/dia-1/abrir-mercados-agroindustria-reto-2019-noticia-593008-noticia/
Extraen con éxito una sanguijuela viva de la nariz de una niña de 6 años,01/01/2019 _ 17:00,https://elcomercio.pe/redes-sociales/youtube/youtube-video-viral-extraen-exito-sanguijuela-viva-nariz-nina-6-anos-vietnam-espana-mexico-colombia-argentina-yt-yutube-nnda-nnrt-noticia-593015-noticia/
"Paulo Guedes, el ""Chicago boy"" que estará a cargo de la debilitada economía de Brasil",01/01/2019 _ 16:59,https://elcomercio.pe/mundo/actualidad/jair-bolsonaro-paulo-guedes-chicago-boy-estara-cargo-debilitada-economia-brasil-noticia-593176-noticia/
Una nueva forma de ver el Derecho [CRÓNICA],01/01/2019 _ 16:57,https://elcomercio.pe/peru/piura/nueva-forma-ver-derecho-cronica-noticia-593174-noticia/
Sin autos ni tumultos: lo que hace el Año Nuevo a las calles de Lima | FOTOS,01/01/2019 _ 16:56,https://elcomercio.pe/lima/sucesos/autos-tumultos-ano-nuevo-calles-lima-fotos-noticia-593173-noticia/
"INEI: Consumo de cemento creció 7,29% en noviembre",01/01/2019 _ 16:56,https://elcomercio.pe/economia/peru/inei-informo-noviembre-crecio-consumo-cemento-7-29-noticia-593156-noticia/
Leeds United perdió 4-2 a manos del Nottingham Forest por la Championship,01/01/2019 _ 16:51,https://elcomercio.pe/deporte-total/futbol-mundial/leeds-united-vs-nottingham-forest-vivo-online-directo-espn-sky-sports-elenco-bielsa-inicia-2019-championship-noticia-nndc-592899-noticia/
Año 2019: así inició el primer día de los nuevos alcaldes en Lima y Callao | FOTOS,01/01/2019 _ 16:49,https://elcomercio.pe/lima/sucesos/ano-2019-inicio-primer-dia-nuevos-alcaldes-lima-callao-fotos-noticia-593166-noticia/
"México concluye que el TLCAN fue un éxito y un reto, tras 25 años en marcha",01/01/2019 _ 16:46,https://elcomercio.pe/economia/mundo/25-anos-puesta-marcha-mexico-concluye-tlcan-exito-reto-noticia-nndc-593124-noticia/
Revisa AQUÍ el Horóscopo de hoy martes 1 de enero del 2019,01/01/2019 _ 16:35,https://elcomercio.pe/luces/vida-social/horoscopo-hoy-martes-1-enero-2019-gratis-amor-tarot-noticia-590866-noticia/
"Los mejores destinos para viajar en 2019, según Airbnb",01/01/2019 _ 16:34,https://elcomercio.pe/vamos/mundo/mejores-destinos-viajar-2019-airbnb-noticia-592086-noticia/
"Sergio Moro, el juez que encarceló a Lula y que ahora es ministro de Justicia de Brasil",01/01/2019 _ 16:32,https://elcomercio.pe/mundo/actualidad/jair-bolsonaro-sergio-moro-juez-encarcelo-lula-da-silva-ministro-justicia-brasil-noticia-593170-noticia/
"Año Nuevo: así celebraron Priyanka Chopra, Nick Jonas, Sophie Turner y Joe Jonas",01/01/2019 _ 16:31,https://elcomercio.pe/tvmas/hollywood/instagram-priyanka-chopra-nick-jonas-sophie-turner-joe-jonas-noticia-nndc-593159-noticia/
¿Qué plantea el proyecto que declara en emergencia el Ministerio Público?,01/01/2019 _ 16:16,https://elcomercio.pe/politica/plantea-proyecto-declara-emergencia-ministerio-publico-noticia-593139-noticia/
"Ernesto Araújo, el nuevo canciller de Brasil que es fanático de Trump",01/01/2019 _ 16:15,https://elcomercio.pe/mundo/latinoamerica/jair-bolsonaro-ernesto-araujo-nuevo-canciller-brasil-esceptico-cambio-climatico-fanatico-trump-noticia-593160-noticia/
Warriors vencieron 132-109 a los Suns en un intenso duelo de anotadores Durant-Booker,01/01/2019 _ 16:11,https://elcomercio.pe/deporte-total/polideportivo/warriors-vs-suns-vivo-online-via-nba-tv-league-pass-duelo-anotadores-durant-booker-noticia-nndc-592741-noticia/
¿Por qué a algunas personas no les gusta que otras se superen?,01/01/2019 _ 16:10,https://elcomercio.pe/respuestas/personas-les-gusta-cambien-mejor-nnda-nnlt-noticia-593162-noticia/
"Inflación cerró en 2,19% en 2018 en Lima, dentro del rango meta oficial",01/01/2019 _ 16:10,https://elcomercio.pe/economia/peru/inflacion-ubico-2-19-2018-rango-meta-oficial-noticia-593163-noticia/
Farid Kahhat analiza la política exterior de Jair Bolsonaro | Videocolumna,01/01/2019 _ 16:08,https://elcomercio.pe/mundo/latinoamerica/farid-kahhat-explica-politica-exterior-nuevo-gobierno-jair-bolsonaro-brasil-videocolumna-noticia-ecpm-593052-noticia/
"""Caleidoscopio de un arenal"": una reflexión sobre la diversidad cultural y espacial de Lima",01/01/2019 _ 16:05,https://elcomercio.pe/luces/arte/impreso-caleidoscopio-arenal-reflexion-diversidad-cultural-espacial-ciudad-lima-noticia-593540-noticia/
Spurs vencieron 120-111 a los Celtics en el AT&amp;T Center por la NBA,01/01/2019 _ 16:00,https://elcomercio.pe/deporte-total/polideportivo/spurs-vs-celtics-vivo-online-via-directv-duelo-derozan-irving-at-t-center-nba-noticia-592739-noticia/
Mohamed Salah y el curioso mensaje de Año Nuevo,01/01/2019 _ 15:57,https://elcomercio.pe/deporte-total/instagram-mohamed-salah-curioso-mensaje-ano-nuevo-noticia-593158-noticia/
